Id,CreatedAt,IsActive,FullName,ProfilePhotoUrl,IsEmailConfirmed,LastLoginAt,UserName,NormalizedUserName,Email,NormalizedEmail,EmailConfirmed,PasswordHash,SecurityStamp,ConcurrencyStamp,PhoneNumber,PhoneNumberConfirmed,TwoFactorEnabled,LockoutEnd,LockoutEnabled,AccessFailedCount
902f189e-a682-4141-a5dd-05961f5287e1,2025-10-13T20:25:59.2066943,True,Test User 8,,True,,testuser_8_5094,TESTUSER_8_5094,testuser_8_8349@example.com,TESTUSER_8_8349@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEBMyWHbji1Rl0HSPLbOYBpkKkytwljBpSSxfSUoAHuFtRijrxql2KLLhVbHA2/yXhg==,Z5WOEVDHALAACF7U5OW5YB2NQS6CJSJG,823d7de7-ce72-4a41-b9ae-874711919141,+1123456789885,False,False,,True,0
24a9ccaa-7526-4e0c-a665-05e21322d0f6,2025-10-13T20:22:18.2882205,True,Test User 2,,True,,testuser_2,TESTUSER_2,testuser_2@example.com,TESTUSER_2@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEBUq5lFmxuPahhumkmaDnsZFiUuRZmB7GfC2FXWdPmxs0bI0A4PFXxOUfZiL85Mnnw==,TLBGZU7755V7CJ3L6KT4INSMD7I3VQOM,07d7b75c-59c6-4d6c-9f14-0f095c01ebbf,+11234567892,False,False,,True,0
794216af-e0a9-4dd5-a33d-08cf0eb45092,2025-10-13T20:26:04.3692233,True,Test User 2,,True,,testuser_2_3171,TESTUSER_2_3171,testuser_2_9193@example.com,TESTUSER_2_9193@EXAMPLE.COM,True,AQAAAAIAAYagAAAAECUYAuMbDtiXRSv4p3GspsuZ2lP9MSvYCKwWkURPSArISLdozlTquwTesz2BU/ZMzg==,APTHUR2BXOBN7YGMLB3VTJ72UNXBXDMQ,89af65fb-a566-4c29-8500-2ab84ca28c44,+1123456789223,False,False,,True,0
d49941f7-00a8-4abc-106c-08de0880772b,0001-01-01T00:00:00.0000000,True,Integration Test User,,True,2025-10-11T04:41:38.8362985,testuser,TESTUSER,test@example.com,TEST@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEH5AAk2eV+RQ+gCbz7T51QX7jFLmuRy1TcrkpTsKNsD61qRG4h9BcpohTCmiOkcI/A==,XXIJMYILFI2AAF276K6VFQJH7YZINQAK,218871ef-77a4-4769-8991-a81debb51540,,False,False,,True,0
00e7cdb5-933a-48f5-9ca1-08fc8976fcc7,2025-10-13T20:26:19.0889885,True,Test User 9,,True,,testuser_9_4006,TESTUSER_9_4006,testuser_9_7636@example.com,TESTUSER_9_7636@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEH2Gj3m1ZtzMhinmXQZW6kJvklHiDHZNBeIrtcTLTPMKqOrvjDNJZu2FDamrrB6B3Q==,WFV77TJV3Q6CYB64ZFL7L3Q7GM53BOAV,3d1027e0-ab86-4571-866a-1022fe0f6e31,+1123456789939,False,False,,True,0
aa7b3e9d-57d5-46e8-81f6-0aef51781440,2025-10-13T20:25:51.3982460,True,Test User 2,,True,,testuser_2_3820,TESTUSER_2_3820,testuser_2_7112@example.com,TESTUSER_2_7112@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEBgEm0TquCATkJJ4ddtYP2vO/PLY2nMUM+3GX4lbiotunCXobksJvhF2i0LVh0GdsQ==,UU2MP53YGTRVCMPK5SHNZGPEFJHJUSAL,ef4e2068-1f7a-4d6f-8536-7b1e621394cf,+1123456789297,False,False,,True,0
6cabdaa2-b154-46d7-89d9-0ce5f9b68204,2025-10-13T20:25:57.9025610,True,Test User 7,,True,,testuser_7_6774,TESTUSER_7_6774,testuser_7_6368@example.com,TESTUSER_7_6368@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEHCRVuw+2LpcngSopbDDQ2WYf1B20uq+qDXKRlhvFn5hF5GhpSaTbCDTHUVMyqLzLg==,63Z57QFTQUR55V4MBOO4VOIHZTKF7STB,dfddf720-2fbb-4959-913d-34f1c241f449,+1123456789735,False,False,,True,0
0b1a6efe-7338-4e2c-9bdc-15799e9ad9db,2025-10-13T20:26:13.3092651,True,Test User 2,,True,,testuser_2_1587,TESTUSER_2_1587,testuser_2_3394@example.com,TESTUSER_2_3394@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEKiEtupAhpHRImzNDfOs46/zG585hSVVPGtLPeie7gx7HoRuvhZthAyBL6+e0PceOA==,JWWZFQHZZYTGYFRL4PLYH2T64K6CGM5K,8834b3a3-666d-40b5-aea5-b6aa6c65424f,+1123456789224,False,False,,True,0
42f5db1f-6cbb-4b04-b049-204f500b0946,2025-10-13T20:25:55.3698479,True,Test User 3,,True,,testuser_3_1790,TESTUSER_3_1790,testuser_3_3445@example.com,TESTUSER_3_3445@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEMkKaaprNn7LhLIJGHeiy0fXMEzcKtIaVlA/663rKOSGf9jeVPGWLMtwnBibevT/LA==,V47W3VGWIZ7L7YCOEKUKR4U5J2KZGLT2,81a94f2b-a247-497c-96e1-8be41a90d2a1,+1123456789383,False,False,,True,0
2dfd8c23-8f20-4c8b-9e04-20d5b708ba32,2025-10-13T20:26:23.4903306,True,Test User 9,,True,,testuser_9_1444,TESTUSER_9_1444,testuser_9_8136@example.com,TESTUSER_9_8136@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEMO6JhV7lus4daKZu7EHzdfsK4mnsrpVViuR6ismSNT+7OKulzLmxQm3XSvXo3Nr6g==,ZPL3UD4RIMDFDMXKQTHX6TU3EDWHCQOJ,b9d7a9b6-b564-43a1-9c52-51ee240c57a9,+1123456789956,False,False,,True,0
315b47eb-6384-40cd-bb39-220a4fc8b153,2025-10-13T20:26:20.3901523,True,Test User 5,,True,,testuser_5_6980,TESTUSER_5_6980,testuser_5_1671@example.com,TESTUSER_5_1671@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEI46QReR6H6bWsVLMVqfS2CgDKe26lL7FfkkSmOV7JUN+V2NwGJ/P+d3/CZQZehHSA==,WKUW4OI62OPNUXNANYHO37T22CPLNZZK,70d784bf-b433-464b-b527-5cc1090b9a96,+1123456789564,False,False,,True,0
76b5f565-7cbe-4382-9bff-293ec54c25ab,2025-10-13T20:26:01.8051420,True,Test User 9,,True,,testuser_9_9594,TESTUSER_9_9594,testuser_9_2483@example.com,TESTUSER_9_2483@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEASA4RJ3T2pm52DkFSbPXVKrPuaU5NRtCdeWNoB+sX6EXho48H4nQ0N3PurJs6WPMQ==,H56TLGZOE5MDDHEZE4LRH4UO3VVPJSPH,695bb6a5-4f62-44a8-9bdf-ff67e962847e,+1123456789947,False,False,,True,0
58702b50-1f8a-48ea-aa91-35680b8aded9,2025-10-13T20:26:12.0108898,True,Test User 7,,True,,testuser_7_6829,TESTUSER_7_6829,testuser_7_1901@example.com,TESTUSER_7_1901@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEIIPc+dNh22+qS1ZUf9fklucEuUjc4+g6zDj6+3972z3hu8m78c2O14CFZ4vaOfCjw==,AX6CDSVWK7BRZONKKNC3BPNUDYP23OSC,2255583c-06cc-4759-a9e4-aac096214a7c,+1123456789750,False,False,,True,0
684e2db4-db4f-411b-8a2b-3817312f1f86,2025-10-13T20:16:08.6459923,True,Test User,,True,,testuser01,TESTUSER01,testuser01@example.com,TESTUSER01@EXAMPLE.COM,True,AQAAAAIAAYagAAAAELXRhvermAdM0eIDdnOeOxmVCgHpGUZUnyP7D7haeZgExufi7psBkqZgW39m94QZeA==,TJGYV6BG26DMRTAWXNXTTYNEYBLX6I3M,2b384a05-779f-439c-a7a2-0b54b41455da,+11234567890,False,False,,True,0
0f579b6a-7f1c-493b-b803-3aa09948eca6,2025-10-13T20:26:15.5821850,True,Test User 3,,True,,testuser_3_3658,TESTUSER_3_3658,testuser_3_2551@example.com,TESTUSER_3_2551@EXAMPLE.COM,True,AQAAAAIAAYagAAAAEOnilOnF8fFAH3Jgn2SOtgFGyKWj9KsHxiChyvRQ7LE+M15jBdOndZvfX+ox7Svygg==,DNMXC6N435M5QQ7EF2KHN6LR4WPWP6JJ,c1d35263-65a8-4643-a244-d366de249b85,+1123456789318,False,False,,True,0
70a51ab7-c09f-4efd-8566-416658c63dbf,2025-10-13T20:26:02.9417593,True,Test User 6,,True,,testuser_6_3156,TESTUSER_6_3156,testuser_6_8546@example.com,TESTUSER_6_8546@EXAMPLE.COM,True,AQAAAAIAAYagAAAAELBcelVOQwRjZ02mjMlZKJt/p6BKhya5CEVONfJq5o0V9Vk29DaI29t4l9JFFp1ZGQ==,INED572TAFU46QNDZG75P6UMVQW3ETYO,0742d005-7281-45d9-95a2-1b0fb88dced6,+1123456789693,False,False,,True,0
